Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	1050	1.82e-16	15.7	7.85	-32	-20	68	-34.7	-21	62.1	845	-34	-22	70	307
19	1044	2.12e-16	15.7	7.03	46	-72	-4	35.9	-59.8	-17.9	468	28	-78	-14	238
18	724	1.18e-12	11.9	7.32	-52	-74	-2	-40.5	-80.2	-3.43	569	-52	-74	-2	246
17	361	1.19e-07	6.92	6.13	0	-4	56	1.58	-2.72	61.3	730	10	8	70	329
16	286	2.15e-06	5.67	8.11	-50	-44	2	-51.5	-46.3	7.33	510	-50	-44	2	228
15	268	4.35e-06	5.36	5.35	-26	-60	58	-24	-59.1	55.1	617	-26	-60	58	298
14	222	2.93e-05	4.53	5.46	50	8	26	57.4	3.48	22.8	537	60	-4	24	267
13	202	6.95e-05	4.16	4.9	32	-68	44	34	-69	35.4	523	32	-74	46	248
12	198	8.29e-05	4.08	4.3	-4	12	32	1.19	12.7	33.7	351	2	14	36	232
11	192	0.000108	3.97	5.12	6	-20	24	5.12	-22	23.9	368	8	-20	24	232
10	190	0.000118	3.93	6.02	32	-52	48	32.1	-52.5	47.7	481	38	-60	60	235
9	152	0.000694	3.16	5.02	44	-86	4	38.1	-84.5	7.59	362	44	-86	6	203
8	134	0.00169	2.77	4.73	-6	-18	10	-11.9	-19	5.36	319	-6	-18	10	199
7	117	0.00405	2.39	4.95	-28	-68	24	-24.5	-67.5	32.4	316	-22	-68	42	220
6	113	0.00501	2.3	4.8	-56	-8	18	-55.8	-10	20.9	403	-56	-8	18	223
5	94	0.0142	1.85	5.75	46	-56	6	48.4	-54.7	7.63	343	48	-56	6	227
4	90	0.0178	1.75	5.49	-48	-4	2	-49.5	-1.37	-0.401	382	-48	-2	-2	263
3	83	0.0266	1.57	5.67	-52	-40	24	-53.9	-40.3	25.3	404	-52	-40	24	259
2	80	0.0318	1.5	5.3	20	-60	-48	17.8	-60	-50.2	268	20	-60	-48	192
1	77	0.0379	1.42	4.14	-20	4	2	-19.6	6.04	-2.46	204	-20	6	-2	172
