Cluster Index	Z	x	y	z	
20	10.5	42	-58	-12
20	8.39	28	-56	28
20	7.86	32	-66	48
20	7.75	42	-34	32
20	7.68	30	-54	46
20	7.41	30	-58	48
19	7.51	36	12	60
19	7.01	12	-14	4
19	6.55	58	12	-10
19	6.24	44	24	-14
19	6.16	48	4	24
19	6.1	24	10	2
18	7.24	-34	10	48
18	6.94	-42	-2	10
18	6.93	-40	-2	14
18	6.7	-56	8	16
18	6.55	-34	6	36
18	6.42	-56	10	22
17	9.19	-48	-72	-8
17	8.93	-46	-78	0
17	8.85	-46	-62	-10
17	8.81	-46	-74	-2
17	8.79	-48	-82	6
17	8.38	-56	-62	8
16	6.97	-30	-54	58
16	6.65	-44	-38	46
16	6.64	-38	-36	44
16	6.52	-48	-40	52
16	6.5	-26	-62	32
16	6.27	-58	-20	42
15	7.65	8	22	36
15	5.35	-4	18	44
15	5.29	2	20	46
15	5.24	12	28	24
15	4.92	-6	2	46
15	4.92	-6	14	30
14	7.49	-52	-20	8
14	6.09	-58	-18	6
14	4.54	-62	-16	16
14	3.31	-56	-18	20
13	4.85	-20	-66	-2
13	4.75	-18	-60	-4
13	4.66	-26	-66	-12
13	4.4	-20	-60	-14
13	4.06	-16	-66	8
13	4.05	-16	-70	10
12	5.47	22	-90	-10
12	4.62	22	-90	4
12	3.7	18	-100	14
11	5.3	4	-10	32
11	4.69	8	-24	28
11	4.31	4	-20	26
10	4.98	38	52	12
10	4.73	36	58	2
9	4.95	-44	40	10
9	4.83	-42	40	18
8	5.14	6	-54	42
8	4.45	12	-58	54
7	4.4	36	48	24
7	4.01	38	44	26
7	3.86	48	38	18
7	3.32	44	44	20
6	4.01	-32	60	10
6	3.99	-38	54	18
6	3.93	-36	58	16
6	3.79	-24	58	2
6	3.69	-26	62	4
6	3.66	-32	68	6
5	4.94	50	-38	-6
4	4.74	-2	-74	2
4	3.92	0	-78	-6
4	3.37	2	-68	4
3	4.81	-10	-78	-36
3	3.91	-10	-80	-50
2	4.51	-30	-52	-28
1	4.94	-18	-44	-52
1	4.37	-24	-38	-44
1	3.63	-30	-46	-50
